...1,TPR_mean,TPR_SD,FDR_mean,FDR_SD,L2_mean,L2_SD,MSPE_mean,MSPE_SD,config,a,number_of_simulations,method,method_id,source_file
1,0.522,0.186179016708721,0.142833333333333,0.201359785427552,2.10405074778302,1.2474148030712,2.20809514167591,1.09909778146524,(iii),0.9,100,SVI,(III),SVI_results_0.9_(iii).csv
1,0.5255,0.101626917216997,0.0262450882450882,0.0518631853801806,4.76791165594951,1.33557406106505,4.70329477787696,1.34276776655256,(iv),0.9,100,SVI,(III),SVI_results_0.9_(iv).csv
1,0.533,0.160840594905941,0.799574534273643,0.0568178791991694,7.88541681645272,2.86540172311941,7.32001096070751,2.72928763844771,(i),1.01,100,SVI,(III),SVI_results_1.01_(i).csv
1,0.438,0.0764159272625409,0.842594885625195,0.0247474618420397,17.2448403331723,3.91812886539998,16.2686871652711,3.927443566151,(ii),1.01,100,SVI,(III),SVI_results_1.01_(ii).csv
1,0.622,0.212526884811491,0.949447121862271,0.0176582893587684,10.1166783101861,3.5058637067304,9.88617674462584,3.45191159156728,(iii),1.01,100,SVI,(III),SVI_results_1.01_(iii).csv
1,0.49,0.110096376512636,0.740181459087917,0.0514472947218654,9.59038918837564,3.10570945417184,9.2733945672291,3.02278145795314,(iv),1.01,100,SVI,(III),SVI_results_1.01_(iv).csv
1,0.526,0.142573744873566,0.798441211030845,0.0507808795757227,8.34873142294859,3.49054924075478,7.86932066807465,3.72676355956459,(i),1.1,100,SVI,(III),SVI_results_1.1_(i).csv
1,0.42175,0.0778219120813669,0.847275195639788,0.0244732187161993,17.0588807042321,3.29001535739478,16.1252274820348,3.50676485683128,(ii),1.1,100,SVI,(III),SVI_results_1.1_(ii).csv
1,0.626,0.20031288656812,0.949198714038137,0.015383393971856,10.542565012506,4.65982325509488,10.3027266975663,4.65019061619446,(iii),1.1,100,SVI,(III),SVI_results_1.1_(iii).csv
1,0.484,0.115662343819316,0.74571869323883,0.0615342506151772,9.58900334111115,2.70859819070178,9.28697182428879,2.71972178993311,(iv),1.1,100,SVI,(III),SVI_results_1.1_(iv).csv
1,0.544,0.145865580850205,0.786663788759804,0.0596161196734353,7.90280043118922,2.23631388717881,7.48999630300742,2.2664865037356,(i),1.2,100,SVI,(III),SVI_results_1.2_(i).csv
1,0.42925,0.0825,0.846033637591098,0.02438116884151,17.6038134748198,3.55339785585287,16.5750148430765,3.59306873710287,(ii),1.2,100,SVI,(III),SVI_results_1.2_(ii).csv
1,0.588,0.198621512053718,0.951733769901922,0.0149745420621435,10.3360208798222,9.26190697218532,10.0729901619226,8.76158144534927,(iii),1.2,100,SVI,(III),SVI_results_1.2_(iii).csv
1,0.477,0.120901495926112,0.742806700452695,0.0624293804277449,10.2470701326857,3.97317374199674,9.94967516876147,4.00931850034897,(iv),1.2,100,SVI,(III),SVI_results_1.2_(iv).csv
1,0.527,0.141317752142847,0.792175609925866,0.0612212320367048,8.18921501185259,3.66114280802395,7.67490165900247,3.85563279468503,(i),1.3,100,SVI,(III),SVI_results_1.3_(i).csv
1,0.43775,0.0723430903906705,0.841293468661048,0.0244307730747327,17.0953233284772,3.12085195206425,16.0268869213776,3.20033932351198,(ii),1.3,100,SVI,(III),SVI_results_1.3_(ii).csv
1,0.596,0.214579692525748,0.951353690635172,0.0181768084762891,9.96443568263896,2.8527784192736,9.7227799231247,2.77034144553916,(iii),1.3,100,SVI,(III),SVI_results_1.3_(iii).csv
1,0.492,0.122828615097903,0.74336772629335,0.0648166775325317,9.39977641054828,2.78992944109966,9.08231790061037,2.81493251522257,(iv),1.3,100,SVI,(III),SVI_results_1.3_(iv).csv
1,0.55,0.154723604984482,0.788835247580785,0.0536135738789168,8.51295534315472,3.0425839618345,8.03854419396764,2.96417549359136,(i),1.5,100,SVI,(III),SVI_results_1.5_(i).csv
1,0.432,0.0890522488784142,0.844074664906149,0.0252109191605192,17.3033780867472,3.34923718437534,16.5033900053204,3.47645895119704,(ii),1.5,100,SVI,(III),SVI_results_1.5_(ii).csv
1,0.604,0.192757763930679,0.95021440194523,0.0155674700627983,9.96458483911786,3.31706357215522,9.79682831055646,3.43285889578597,(iii),1.5,100,SVI,(III),SVI_results_1.5_(iii).csv
1,0.466,0.11256423530903201,0.759183121543727,0.0517790495445914,9.72001809694918,2.81004933535033,9.35284635058759,2.81379873884203,(iv),1.5,100,SVI,(III),SVI_results_1.5_(iv).csv
1,0.532,0.144166009807577,0.79460861358407,0.0529597323029459,8.21491500181704,2.74632494765249,7.79872295968127,2.75561074260446,(i),100,100,SVI,(III),SVI_results_100_(i).csv
